text,sentiment
Worth every penny,positive
Very disappointing,negative
Nothing special,neutral
Worth every penny,positive
Poor performance,negative
It is okay,neutral
This is amazing,positive
Worst experience ever,negative
It is okay,neutral
This is amazing,positive
Not good at all,negative
Neither good nor bad,neutral
Superb performance,positive
I hate this product,negative
The product is fine,neutral
Highly recommended,positive
Bad service,negative
Moderate quality,neutral
I love this product,positive
Very disappointing,negative
Acceptable experience,neutral
Very happy with the service,positive
Waste of money,negative
It works as expected,neutral
This is amazing,positive
Very disappointing,negative
Nothing special,neutral
Excellent quality,positive
Terrible quality,negative
Nothing special,neutral
Fantastic experience,positive
I am unhappy,negative
It is okay,neutral
This is amazing,positive
Poor performance,negative
Moderate quality,neutral
Fantastic experience,positive
Not good at all,negative
Moderate quality,neutral
Very happy with the service,positive
Waste of money,negative
Nothing special,neutral
Great value,positive
Extremely frustrating,negative
It is okay,neutral
I am extremely satisfied,positive
Waste of money,negative
Acceptable experience,neutral
Very happy with the service,positive
I am unhappy,negative
It is okay,neutral
I am extremely satisfied,positive
Bad service,negative
It works as expected,neutral
Worth every penny,positive
I am unhappy,negative
Average quality,neutral
Superb performance,positive
Worst experience ever,negative
Just okay,neutral
This is amazing,positive
Extremely frustrating,negative
Acceptable experience,neutral
Highly recommended,positive
Worst experience ever,negative
Average quality,neutral
Superb performance,positive
Poor performance,negative
Average quality,neutral
Excellent quality,positive
Waste of money,negative
No strong opinion,neutral
This is amazing,positive
Extremely frustrating,negative
Average quality,neutral
Highly recommended,positive
Bad service,negative
Average quality,neutral
Excellent quality,positive
Terrible quality,negative
Neither good nor bad,neutral
Very happy with the service,positive
Worst experience ever,negative
Just okay,neutral
Highly recommended,positive
Not good at all,negative
Moderate quality,neutral
This is amazing,positive
Worst experience ever,negative
Nothing special,neutral
Fantastic experience,positive
Very disappointing,negative
It works as expected,neutral
Superb performance,positive
Terrible quality,negative
It works as expected,neutral
Superb performance,positive
Worst experience ever,negative
No strong opinion,neutral
Superb performance,positive
I hate this product,negative
Just okay,neutral
I am extremely satisfied,positive
I hate this product,negative
It works as expected,neutral
Highly recommended,positive
Waste of money,negative
Just okay,neutral
Very happy with the service,positive
Extremely frustrating,negative
Moderate quality,neutral
Superb performance,positive
Worst experience ever,negative
Acceptable experience,neutral
Great value,positive
Extremely frustrating,negative
Acceptable experience,neutral
Highly recommended,positive
Extremely frustrating,negative
Nothing special,neutral
This is amazing,positive
Terrible quality,negative
Nothing special,neutral
Great value,positive
I am unhappy,negative
No strong opinion,neutral
Superb performance,positive
Poor performance,negative
Neither good nor bad,neutral
Worth every penny,positive
I am unhappy,negative
Just okay,neutral
I am extremely satisfied,positive
Poor performance,negative
The product is fine,neutral
This is amazing,positive
Worst experience ever,negative
Just okay,neutral
I am extremely satisfied,positive
Poor performance,negative
It is okay,neutral
Excellent quality,positive
Bad service,negative
Just okay,neutral
Excellent quality,positive
Very disappointing,negative
Acceptable experience,neutral
Excellent quality,positive
Terrible quality,negative
The product is fine,neutral
Great value,positive
I hate this product,negative
It works as expected,neutral
Highly recommended,positive
Poor performance,negative
Just okay,neutral
Superb performance,positive
Terrible quality,negative
Nothing special,neutral
Great value,positive
Not good at all,negative
Just okay,neutral
Excellent quality,positive
Very disappointing,negative
Just okay,neutral
I am extremely satisfied,positive
Bad service,negative
Acceptable experience,neutral
Fantastic experience,positive
Poor performance,negative
Neither good nor bad,neutral
Very happy with the service,positive
Terrible quality,negative
Moderate quality,neutral
Very happy with the service,positive
Poor performance,negative
Neither good nor bad,neutral
Superb performance,positive
Bad service,negative
Neither good nor bad,neutral
I love this product,positive
Very disappointing,negative
Acceptable experience,neutral
Fantastic experience,positive
Terrible quality,negative
Neither good nor bad,neutral
Great value,positive
Very disappointing,negative
It works as expected,neutral
Very happy with the service,positive
I am unhappy,negative
No strong opinion,neutral
I am extremely satisfied,positive
Bad service,negative
No strong opinion,neutral
Worth every penny,positive
Poor performance,negative
No strong opinion,neutral
Very happy with the service,positive
Extremely frustrating,negative
Moderate quality,neutral
Excellent quality,positive
Very disappointing,negative
It is okay,neutral
I am extremely satisfied,positive
Waste of money,negative
It is okay,neutral
Fantastic experience,positive
I hate this product,negative
Moderate quality,neutral
I love this product,positive
Poor performance,negative
Acceptable experience,neutral
I am extremely satisfied,positive
Poor performance,negative
The product is fine,neutral
Excellent quality,positive
I am unhappy,negative
Just okay,neutral
Excellent quality,positive
Waste of money,negative
Neither good nor bad,neutral
Fantastic experience,positive
Waste of money,negative
Acceptable experience,neutral
Excellent quality,positive
Poor performance,negative
It works as expected,neutral
Fantastic experience,positive
Extremely frustrating,negative
It works as expected,neutral
Fantastic experience,positive
Terrible quality,negative
Nothing special,neutral
Highly recommended,positive
Not good at all,negative
No strong opinion,neutral
Excellent quality,positive
Extremely frustrating,negative
Moderate quality,neutral
This is amazing,positive
Extremely frustrating,negative
Average quality,neutral
This is amazing,positive
Worst experience ever,negative
No strong opinion,neutral
Highly recommended,positive
Bad service,negative
Just okay,neutral
Fantastic experience,positive
Poor performance,negative
The product is fine,neutral
Excellent quality,positive
Very disappointing,negative
Just okay,neutral
Very happy with the service,positive
I am unhappy,negative
It is okay,neutral
Very happy with the service,positive
Poor performance,negative
Neither good nor bad,neutral
Highly recommended,positive
Very disappointing,negative
The product is fine,neutral
Worth every penny,positive
Extremely frustrating,negative
Neither good nor bad,neutral
Highly recommended,positive
Bad service,negative
Moderate quality,neutral
I am extremely satisfied,positive
I am unhappy,negative
It works as expected,neutral
Highly recommended,positive
I am unhappy,negative
It works as expected,neutral
Very happy with the service,positive
Poor performance,negative
Average quality,neutral
Excellent quality,positive
Poor performance,negative
No strong opinion,neutral
I love this product,positive
Poor performance,negative
It works as expected,neutral
Worth every penny,positive
I hate this product,negative
Moderate quality,neutral
I love this product,positive
Terrible quality,negative
Nothing special,neutral
Highly recommended,positive
Terrible quality,negative
Average quality,neutral
Fantastic experience,positive
Worst experience ever,negative
It works as expected,neutral
This is amazing,positive
Very disappointing,negative
The product is fine,neutral
the movie is amazing,positive
